drawdown_fraction,duration_days,required_starting_bcr,required_starting_bcr_terminal,synthesis_status
0.9,1440,17,,ok
0.9,1500,17.3,,ok
0.9,1560,17.6,,ok
0.9,1620,17.9,,ok
0.9,1680,18.2,,ok
0.9,1740,18.5,,ok
0.9,1800,18.7,,ok
0.925,0,,,degenerate
0.925,60,13.6,,ok
0.925,120,14,,ok
0.925,180,14.2,,ok
0.925,240,14.6,,ok
0.925,300,14.9,,ok
0.925,360,15.2,,ok
0.925,420,15.6,,ok
0.925,480,15.9,,ok
0.925,540,16.2,,ok
0.925,600,16.6,,ok
0.925,660,16.9,,ok
0.925,720,17.2,,ok
0.925,780,17.6,,ok
0.925,840,17.9,,ok
0.925,900,18.2,,ok
0.925,960,18.5,,ok
0.925,1020,18.9,,ok
0.925,1080,19.2,,ok
0.925,1140,19.5,,ok
0.925,1200,19.8,,ok
0.925,1260,20.2,,ok
0.925,1320,20.5,,ok
0.925,1380,20.8,,ok
0.925,1440,21.2,,ok
0.925,1500,21.5,,ok
0.925,1560,21.8,,ok
0.925,1620,22.2,,ok
0.925,1680,22.5,,ok
0.925,1740,22.8,,ok
0.925,1800,23.2,,ok
0.95,0,,,degenerate
0.95,60,20.3,,ok
0.95,120,20.7,,ok
0.95,180,21,,ok
0.95,240,21.4,,ok
0.95,300,21.8,,ok
0.95,360,22.1,,ok
0.95,420,22.5,,ok
0.95,480,22.9,,ok
0.95,540,23.3,,ok
0.95,600,23.7,,ok
0.95,660,24.1,,ok
0.95,720,24.5,,ok
0.95,780,24.9,,ok
0.95,840,25.3,,ok
0.95,900,25.6,,ok
0.95,960,26,,ok
0.95,1020,26.4,,ok
0.95,1080,26.8,,ok
0.95,1140,27.2,,ok
0.95,1200,27.6,,ok
0.95,1260,28,,ok
0.95,1320,28.3,,ok
0.95,1380,28.7,,ok
0.95,1440,29.1,,ok
0.95,1500,29.5,,ok
0.95,1560,29.9,,ok
0.95,1620,30.3,,ok
0.95,1680,30.7,,ok
0.95,1740,31,,ok
0.95,1800,31.4,,ok
