regime,scenario_id,starting_bcr,terminal_state,peak_date,peak_price_usd,trough_date,trough_price_usd,max_drawdown_from_peak,days_to_trough,min_bcr,min_bcr_date,days_to_bcr_min,primary_failure_date,days_to_primary_failure,terminal_liquidity_date,days_to_terminal_liquidity,primary_to_terminal_gap_days,recovery_date,days_to_recovery,terminal_date,terminal_bcr,terminal_btc_reserve_index,terminal_btc_held_index,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_usd,cumulative_payments_over_annual,annual_obligation_usd,monthly_obligation_usd,btc_at_peak,required_starting_bcr_lo,required_starting_bcr_hi,required_starting_bcr_terminal_lo,required_starting_bcr_terminal_hi,scenarios_total,days_below_bcr_1,days_below_bcr_2,days_below_bcr_5,time_weighted_avg_bcr
ico_2018,ico_2018_bcr1.0,1,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.987764087351429,2017-12-17,1,2017-12-17,1,2018-05-01,136,135,,,2021-12-16,0.987764087351429,0.987764087351429,1,0,0,0,0,1000000000,83333333.33333333,52116.50331617311,10.4,10.5,8.3,8.4,245,1461,1462,1462,0.9877724566487566
ico_2018,ico_2018_bcr1.1,1.1,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.944021559555092,2017-12-20,4,2017-12-20,4,2018-06-01,167,163,,,2021-12-16,0.944021559555092,0.8582014177773563,1,0,0,0,0,909090909.090909,75757575.75757575,52116.50331617311,10.4,10.5,8.3,8.4,245,1458,1462,1462,0.9443710742503881
ico_2018,ico_2018_bcr1.2,1.2,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.9756215674768004,2017-12-21,5,2017-12-21,5,2018-06-01,167,162,,,2021-12-16,0.9756215674768004,0.8130179728973338,1,0,0,0,0,833333333.3333334,69444444.44444445,52116.50331617311,10.4,10.5,8.3,8.4,245,1457,1462,1462,0.9761882876096565
ico_2018,ico_2018_bcr1.3,1.3,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.9491836470920557,2017-12-22,6,2017-12-22,6,2018-06-22,188,182,,,2021-12-16,0.9491836470920557,0.7301412669938889,1,0,0,0,0,769230769.2307692,64102564.1025641,52116.50331617311,10.4,10.5,8.3,8.4,245,1456,1462,1462,0.9502397541666997
ico_2018,ico_2018_bcr1.4,1.4,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.9222536426829991,2017-12-30,14,2017-12-30,14,2018-07-01,197,183,,,2021-12-16,0.9222536426829991,0.658752601916428,1,0,0,0,0,714285714.2857144,59523809.52380953,52116.50331617311,10.4,10.5,8.3,8.4,245,1448,1462,1462,0.9245755722157999
ico_2018,ico_2018_bcr1.5,1.5,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.9881289028746422,2017-12-30,14,2017-12-30,14,2018-07-01,197,183,,,2021-12-16,0.9881289028746422,0.658752601916428,1,0,0,0,0,666666666.6666666,55555555.55555555,52116.50331617311,10.4,10.5,8.3,8.4,245,1448,1462,1462,0.9906166845169334
ico_2018,ico_2018_bcr1.6,1.6,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.8811041706439294,2018-01-16,31,2018-01-16,31,2018-08-01,228,197,,,2021-12-16,0.8811041706439294,0.5506901066524559,0.9279997448366955,0.07200025516330455,52083333.33333335,52083333.33333335,0.08333333333333336,625000000,52083333.333333336,52116.50331617311,10.4,10.5,8.3,8.4,245,1431,1462,1462,0.8883419411203973
ico_2018,ico_2018_bcr1.7,1.7,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.940445793280837,2018-01-16,31,2018-01-16,31,2018-08-01,228,197,,,2021-12-16,0.940445793280837,0.5532034078122571,0.9322350539639487,0.06776494603605132,49019607.843137234,49019607.843137234,0.0833333333333333,588235294.117647,49019607.84313726,52116.50331617311,10.4,10.5,8.3,8.4,245,1431,1462,1462,0.9481057148488005
ico_2018,ico_2018_bcr1.8,1.8,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.9997874159177444,2018-01-16,31,2018-01-16,31,2018-09-01,259,228,,,2021-12-16,0.9997874159177444,0.5554374532876358,0.9359997731881738,0.06400022681182616,46296296.29629627,46296296.29629627,0.08333333333333327,555555555.5555556,46296296.2962963,52116.50331617311,10.4,10.5,8.3,8.4,245,1431,1462,1462,1.007869488577262
ico_2018,ico_2018_bcr1.9,1.9,failed_terminal,2017-12-16,19187.78,2018-12-15,3179.54,0.834293493046095,364,0.9274776305141452,2018-01-30,45,2018-01-30,45,2018-09-01,259,214,,,2021-12-16,0.9274776305141452,0.48814612132323437,0.9393682061782699,0.06063179382173012,43859649.12280698,43859649.12280698,0.08333333333333326,526315789.47368425,43859649.12280702,52116.50331617311,10.4,10.5,8.3,8.4,245,1417,1462,1462,0.9400282217322434
