time,open,high,low,close
6/19/2013,104.49,107.5,102,105.24
6/20/2013,105.24,108,102.47,102.61
6/21/2013,103,104.86,90,101.8
6/22/2013,101.29,103,98.55,100
6/23/2013,100,101.45,98.5,100.41
6/24/2013,100.4,102.3,95,99.47
6/25/2013,98.83,101,97.47,97.87
6/26/2013,97.57,99.98,96.13,98.77
6/27/2013,98.75,98.76,96,96.31
6/28/2013,96.98,97.45,88.01,89.96
6/29/2013,89.2,91.61,86.2,88.98
6/30/2013,88.83,90.3,88.01,89.53
7/1/2013,89.41,90.16,80.94,84.5
7/2/2013,83.41,88.5,81.9,88
7/3/2013,88.04,89.56,75.11,77.01
7/4/2013,77.33,83.9,70.06,79.4
7/5/2013,79.4,79.4,63.26,66.93
7/6/2013,67.13,72.88,63,66.34
7/7/2013,66.34,73.96,64.5,73.96
7/8/2013,73.97,76.94,70.1,74.4
7/9/2013,74,76.01,70.25,75.01
7/10/2013,75,86.64,74.81,86.19
7/11/2013,86.13,89.96,83.85,87.13
7/12/2013,87.81,100,86.6,90.17
7/13/2013,90.19,92.04,87.15,91.67
7/14/2013,91.67,93,88.87,90.03
7/15/2013,90.02,95,88.11,93.78
7/16/2013,93.76,93.9,89.09,91.55
7/17/2013,91.61,92.37,89,90.97
7/18/2013,90.96,91,77,85.28
7/19/2013,85,88,83.21,86.51
7/20/2013,86.51,87.07,84.27,85.04
7/21/2013,85.02,86.99,84.25,85.93
7/22/2013,85.73,87.08,83,85.6
7/23/2013,85.59,88.88,82,86.98
7/24/2013,86.88,88.48,85.73,88.42
7/25/2013,88.42,90.66,87.08,90.16
7/26/2013,90.1,91.77,88.56,89.95
7/27/2013,89.97,90.16,87.8,88.16
7/28/2013,88.16,94.01,87.9,92.71
7/29/2013,92.72,93.5,90.54,93.39
7/30/2013,93.45,97,92.7,96.57
7/31/2013,96.98,101,95,98.28
8/1/2013,97.77,98.44,95.15,96.62
8/2/2013,96.63,98.71,93.03,95.85
8/3/2013,95.82,97,93.98,95.55
8/4/2013,95.54,96.61,95.5,96.38
8/5/2013,96.38,98.92,96,97.81
8/6/2013,97.88,98.98,97.07,97.69
8/7/2013,97.7,98.32,95.5,97.09
8/8/2013,97.09,97.14,91.11,94.27
8/9/2013,94.26,95.75,90,92.27
8/10/2013,92.72,94.25,92.14,93.51
8/11/2013,93.51,94.58,93.12,94.09
8/12/2013,94,96.18,93.31,95.35
8/13/2013,95.37,98.19,94.24,98.15
8/14/2013,97.75,101,97.03,99.19
8/15/2013,99.19,100.01,96.68,98.08
8/16/2013,98.09,99,96.5,98.25
8/17/2013,98.26,99.82,97.48,99.71
8/18/2013,99.71,99.99,98.41,99.3
8/19/2013,99.32,105.16,99,102.85
8/20/2013,102.85,104.88,100.38,104.87
8/21/2013,104.87,114,104.56,110.43
8/22/2013,111.52,113.02,107.98,109.12
8/23/2013,109.12,109.9,104.2,107.65
8/24/2013,107.91,110.33,106.64,109.15
8/25/2013,109.15,113.28,109.15,113.12
8/26/2013,113.12,113.3,110.27,111.9
8/27/2013,111.85,118.93,111.76,117.75
8/28/2013,117.74,119.63,117.04,117.91
8/29/2013,117.91,120,117,118.5
8/30/2013,118.91,126.14,118.04,124.86
8/31/2013,124.86,134.95,124.8,128
9/1/2013,127.9,132.09,126.79,130.66
9/2/2013,130.65,132,128.52,130.15
9/3/2013,129.4,131,127,129.18
9/4/2013,129.2,129.94,115.21,122.81
9/5/2013,121.65,127.5,116.07,122.5
9/6/2013,122,124.54,115.21,117.67
9/7/2013,116.56,122.16,115.5,119.93
9/8/2013,119.91,120.94,116,118.34
9/9/2013,118.37,124.13,115,121.68
9/10/2013,121.68,124.26,120.8,122.07
9/11/2013,122.08,127.72,118,127.55
9/12/2013,127.54,128.5,123.1,126.38
9/13/2013,126.38,128.79,125.05,127.71
9/14/2013,127.71,128,123.05,124.49
9/15/2013,124.49,126.25,123,125.36
9/16/2013,125.36,126.71,124.03,126.27
9/17/2013,126.28,127.69,125.47,126.92
9/18/2013,126.92,128,124.2,127
9/19/2013,127,127.95,123.02,124.18
9/20/2013,124.17,126.02,121.16,122.91
9/21/2013,122.92,124.1,121.7,123.39
9/22/2013,123.38,123.5,122.35,123.27
9/23/2013,123.27,123.99,121.54,122.63
9/24/2013,122.81,124.01,121.77,123.86
9/25/2013,123.75,125,123.23,123.25
9/26/2013,123.32,124.9,123,124.84
9/27/2013,124.85,126.96,124.35,126.95
9/28/2013,126.95,127,124.01,126.54
9/29/2013,126.5,128.8,126.08,127.01
9/30/2013,127,127.53,122.77,126.25
10/1/2013,126.25,127.93,125.54,127.33
10/2/2013,127.31,127.8,85,103.85
10/3/2013,103.85,118.79,102,117.63
10/4/2013,117.62,122.98,116.48,121.94
10/5/2013,121.94,122.29,121.11,121.2
10/6/2013,121.25,122.49,121.13,122.49
10/7/2013,122.49,124.49,120.11,123.5
10/8/2013,123.5,125.17,122.17,124.13
10/9/2013,124.5,127.99,122.3,125.9
10/10/2013,125.79,126.8,124.9,126.8
10/11/2013,126.8,127.42,125.93,127.38
10/12/2013,127.38,128,126.01,127.98
10/13/2013,127.58,133,127.57,132.82
10/14/2013,132.83,138.22,132,135.42
10/15/2013,135.43,147.39,134.09,142.76
10/16/2013,142.75,147,137.38,137.56
10/17/2013,137.54,145,135,143.94
10/18/2013,143.94,154.69,143.23,152.89
10/19/2013,152.89,172,152.44,166
10/20/2013,166,166.6,162.54,166.59
10/21/2013,166.6,181.93,166.05,180.13
10/22/2013,180.15,196.27,179,189.75
10/23/2013,189.74,203.96,185,203.96
